problem3


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  254    1375    1.702201e-01   5.984e-07   8.235e-02   2.650e-02   5.776e-03
  255    1384    1.702194e-01   6.402e-07   8.235e-02   2.415e-02   4.555e-03
  256    1393    1.702188e-01   6.546e-07   8.235e-02   2.193e-02   3.430e-03
  257    1401    1.702180e-01   7.213e-07   1.176e-01   2.834e-02   2.645e-03
  258    1409    1.702175e-01   7.276e-07   1.176e-01   2.455e-02   3.418e-03
  259    1416    1.702168e-01   7.779e-07   1.681e-01   3.053e-02   4.128e-03
  260    1423    1.702164e-01   7.395e-07   1.681e-01   2.503e-02   4.429e-03
  261    1429    1.702159e-01   7.112e-07   2.401e-01   2.956e-02   4.425e-03
  262    1434    1.702156e-01   6.508e-07   3.430e-01   3.191e-02   3.957e-03
  263    1437    1.702153e-01   6.395e-07   7.000e-01   4.310e-02   2.487e-03
  264    1439    1.702153e-01   4.722e-08   1.000e+00   2.067e-02   8.161e-04
  265    1441    1.702153e-01   1.138e-09   1.000e+00   5.946e-03   6.723e-04
  266    1446    1.702152e-01   3.884e-09   3.430e-01   8.183e-03   9.947e-04
  267    1453    1.702151e-01   8.813e-09   1.681e-01   9.668e-03   1.459e-03
  268    1461    1.702150e-01   1.761e-08   1.176e-01   1.136e-02   1.984e-03
  269    1470    1.702148e-01   2.830e-08   8.235e-02   1.184e-02   2.504e-03
  270    1479    1.702145e-01   6.177e-08   8.235e-02   1.647e-02   3.189e-03

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  271    1489    1.702142e-01   8.759e-08   5.765e-02   1.499e-02   3.775e-03
  272    1500    1.702139e-01   1.068e-07   4.035e-02   1.338e-02   4.263e-03
  273    1511    1.702135e-01   1.496e-07   4.035e-02   1.655e-02   4.827e-03
  274    1523    1.702132e-01   1.750e-07   2.825e-02   1.382e-02   5.265e-03
  275    1535    1.702128e-01   2.223e-07   2.825e-02   1.624e-02   5.742e-03
  276    1548    1.702124e-01   2.465e-07   1.977e-02   1.299e-02   6.095e-03
  277    1561    1.702120e-01   2.862e-07   1.977e-02   1.468e-02   6.463e-03
  278    1575    1.702117e-01   3.040e-07   1.384e-02   1.134e-02   6.725e-03
  279    1589    1.702113e-01   3.304e-07   1.384e-02   1.243e-02   6.988e-03
  280    1603    1.702109e-01   3.654e-07   1.384e-02   1.330e-02   7.247e-03
  281    1617    1.702105e-01   4.095e-07   1.384e-02   1.405e-02   7.496e-03
  282    1631    1.702100e-01   4.622e-07   1.384e-02   1.467e-02   7.733e-03
  283    1646    1.702097e-01   4.808e-07   9.689e-03   1.066e-02   7.889e-03
  284    1661    1.702093e-01   5.030e-07   9.689e-03   1.106e-02   8.036e-03
  285    1676    1.702089e-01   5.275e-07   9.689e-03   1.128e-02   8.170e-03
  286    1691    1.702085e-01   5.537e-07   9.689e-03   1.144e-02   8.292e-03
  287    1706    1.702082e-01   5.810e-07   9.689e-03   1.152e-02   8.402e-03
  288    1721    1.702078e-01   6.089e-07   9.689e-03   1.155e-02   8.499e-03
  289    1736    1.702074e-01   6.368e-07   9.689e-03   1.153e-02   8.584e-03
  290    1751    1.702070e-01   6.641e-07   9.689e-03   1.147e-02   8.657e-03
  291    1766    1.702066e-01   6.906e-07   9.689e-03   1.138e-02   8.719e-03
  292    1781    1.702062e-01   7.159e-07   9.689e-03   1.126e-02   8.770e-03
  293    1796    1.702059e-01   7.399e-07   9.689e-03   1.112e-02   8.813e-03
  294    1811    1.702055e-01   7.622e-07   9.689e-03   1.096e-02   8.846e-03
  295    1826    1.702051e-01   7.830e-07   9.689e-03   1.080e-02   8.872e-03
  296    1841    1.702048e-01   8.021e-07   9.689e-03   1.062e-02   8.890e-03
  297    1855    1.702043e-01   8.643e-07   1.384e-02   1.485e-02   9.226e-03
  298    1869    1.702038e-01   9.171e-07   1.384e-02   1.434e-02   9.881e-03
  299    1883    1.702033e-01   9.636e-07   1.384e-02   1.398e-02   1.053e-02
  300    1897    1.702029e-01   1.004e-06   1.384e-02   1.362e-02   1.117e-02

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  301    1911    1.702024e-01   1.040e-06   1.384e-02   1.328e-02   1.180e-02
  302    1925    1.702020e-01   1.070e-06   1.384e-02   1.295e-02   1.243e-02
  303    1939    1.702016e-01   1.096e-06   1.384e-02   1.264e-02   1.304e-02
  304    1953    1.702012e-01   1.119e-06   1.384e-02   1.234e-02   1.365e-02
  305    1967    1.702008e-01   1.138e-06   1.384e-02   1.206e-02   1.424e-02
  306    1981    1.702005e-01   1.154e-06   1.384e-02   1.179e-02   1.483e-02
  307    1994    1.702000e-01   1.216e-06   1.977e-02   1.639e-02   1.566e-02
  308    2007    1.701995e-01   1.266e-06   1.977e-02   1.573e-02   1.645e-02
  309    2020    1.701990e-01   1.306e-06   1.977e-02   1.524e-02   1.723e-02
  310    2033    1.701986e-01   1.338e-06   1.977e-02   1.478e-02   1.709e-02
  311    2046    1.701982e-01   1.364e-06   1.977e-02   1.435e-02   1.691e-02
  312    2059    1.701978e-01   1.383e-06   1.977e-02   1.395e-02   1.673e-02
  313    2072    1.701974e-01   1.399e-06   1.977e-02   1.357e-02   1.654e-02
  314    2085    1.701970e-01   1.409e-06   1.977e-02   1.322e-02   1.634e-02
  315    2097    1.701965e-01   1.471e-06   2.825e-02   1.832e-02   1.605e-02
  316    2109    1.701961e-01   1.515e-06   2.825e-02   1.749e-02   1.575e-02
