problem6


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
  153        1371   -4.774737e-01     2.547e-06     6.782e-03     4.025e-03     5.892e-02  
  154        1388   -4.774742e-01     2.588e-06     6.782e-03     3.986e-03     5.927e-02  
  155        1405   -4.774747e-01     2.627e-06     6.782e-03     3.949e-03     5.961e-02  
  156        1421   -4.774755e-01     2.717e-06     9.689e-03     5.582e-03     6.010e-02  
  157        1437   -4.774762e-01     2.802e-06     9.689e-03     5.503e-03     6.058e-02  
  158        1453   -4.774770e-01     2.882e-06     9.689e-03     5.429e-03     6.106e-02  
  159        1469   -4.774777e-01     2.959e-06     9.689e-03     5.358e-03     6.153e-02  
  160        1485   -4.774785e-01     3.031e-06     9.689e-03     5.288e-03     6.200e-02  
  161        1501   -4.774793e-01     3.100e-06     9.689e-03     5.218e-03     6.246e-02  
  162        1517   -4.774801e-01     3.166e-06     9.689e-03     5.149e-03     6.291e-02  
  163        1532   -4.774813e-01     3.313e-06     1.384e-02     7.242e-03     6.355e-02  
  164        1547   -4.774825e-01     3.449e-06     1.384e-02     7.094e-03     6.418e-02  
  165        1562   -4.774837e-01     3.574e-06     1.384e-02     6.953e-03     6.479e-02  
  166        1577   -4.774850e-01     3.689e-06     1.384e-02     6.813e-03     6.539e-02  
  167        1591   -4.774868e-01     3.938e-06     1.977e-02     9.520e-03     6.623e-02  
  168        1605   -4.774886e-01     4.158e-06     1.977e-02     9.245e-03     6.704e-02  
  169        1619   -4.774904e-01     4.353e-06     1.977e-02     8.981e-03     6.783e-02  
  170        1632   -4.774931e-01     4.758e-06     2.825e-02     1.244e-02     6.892e-02  
  171        1645   -4.774959e-01     5.100e-06     2.825e-02     1.193e-02     6.997e-02  
  172        1658   -4.774986e-01     5.390e-06     2.825e-02     1.144e-02     7.096e-02  
  173        1671   -4.775013e-01     5.631e-06     2.825e-02     1.097e-02     7.192e-02  
  174        1684   -4.775041e-01     5.829e-06     2.825e-02     1.052e-02     7.282e-02  
  175        1696   -4.775082e-01     6.262e-06     4.035e-02     1.438e-02     7.405e-02  
  176        1708   -4.775122e-01     6.592e-06     4.035e-02     1.356e-02     7.521e-02  
  177        1719   -4.775180e-01     7.261e-06     5.765e-02     1.822e-02     7.674e-02  
  178        1730   -4.775238e-01     7.704e-06     5.765e-02     1.681e-02     7.813e-02  
  179        1741   -4.775295e-01     7.967e-06     5.765e-02     1.552e-02     7.940e-02  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  180        1751   -4.775377e-01     8.502e-06     8.235e-02     2.045e-02     8.104e-02  
  181        1761   -4.775456e-01     8.701e-06     8.235e-02     1.839e-02     8.248e-02  
  182        1770   -4.775567e-01     9.036e-06     1.176e-01     2.362e-02     8.429e-02  
  183        1778   -4.775715e-01     9.241e-06     1.681e-01     2.927e-02     8.646e-02  
  184        1785   -4.775902e-01     8.580e-06     2.401e-01     3.443e-02     8.892e-02  
  185        1790   -4.776209e-01     1.163e-05     4.900e-01     5.400e-02     9.265e-02  
  186        1794   -4.776456e-01     1.286e-05     7.000e-01     4.217e-02     8.555e-02  
  187        1797   -4.776627e-01     5.766e-06     1.000e+00     2.265e-02     5.212e-02  
  188        1800   -4.776702e-01     1.226e-07     1.000e+00     1.392e-02     1.501e-02  
  189        1803   -4.776722e-01     2.320e-08     1.000e+00     8.228e-03     1.229e-02  
  190        1806   -4.776743e-01     1.010e-08     1.000e+00     6.743e-03     1.176e-02  
  191        1809   -4.776776e-01     2.668e-08     1.000e+00     9.020e-03     1.293e-02  
  192        1812   -4.776806e-01     8.331e-08     1.000e+00     1.087e-02     1.316e-02  
  193        1815   -4.776829e-01     9.069e-08     1.000e+00     1.411e-02     1.644e-02  
  194        1818   -4.776842e-01     2.886e-08     1.000e+00     1.204e-02     1.430e-02  
  195        1821   -4.776854e-01     1.672e-08     1.000e+00     9.679e-03     1.416e-02  
  196        1824   -4.776868e-01     2.782e-08     1.000e+00     9.302e-03     1.454e-02  
  197        1827   -4.776885e-01     3.809e-08     1.000e+00     9.297e-03     1.530e-02  
  198        1830   -4.776901e-01     3.244e-08     1.000e+00     8.246e-03     1.593e-02  
  199        1833   -4.776915e-01     2.145e-08     1.000e+00     6.916e-03     1.631e-02  
  200        1836   -4.776933e-01     1.904e-08     1.000e+00     7.724e-03     1.656e-02  
  201        1839   -4.776958e-01     3.475e-08     1.000e+00     9.683e-03     1.659e-02  
  202        1842   -4.776980e-01     3.408e-08     1.000e+00     5.415e-03     1.613e-02  
  203        1845   -4.776996e-01     1.474e-07     1.000e+00     5.196e-03     1.225e-02  
  204        1848   -4.777009e-01     1.245e-07     1.000e+00     4.019e-03     9.690e-03  
  205        1851   -4.777024e-01     1.441e-07     1.000e+00     3.943e-03     8.365e-03  
  206        1854   -4.777045e-01     1.804e-07     1.000e+00     5.433e-03     7.628e-03  
  207        1857   -4.777069e-01     9.289e-08     1.000e+00     7.789e-03     6.712e-03  
  208        1860   -4.777085e-01     5.612e-09     1.000e+00     7.100e-03     5.658e-03  
  209        1863   -4.777092e-01     3.472e-09     1.000e+00     3.830e-03     3.486e-03  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  210        1866   -4.777097e-01     5.838e-10     1.000e+00     2.056e-03     1.223e-03  
  211        1869   -4.777104e-01     2.439e-09     1.000e+00     2.205e-03     1.104e-03  
  212        1872   -4.777110e-01     2.348e-08     1.000e+00     2.668e-03     1.392e-03  
  213        1875   -4.777114e-01     2.055e-08     1.000e+00     2.423e-03     1.092e-03  
  214        1878   -4.777115e-01     3.432e-09     1.000e+00     1.534e-03     5.309e-04  
  215        1881   -4.777117e-01     9.542e-10     1.000e+00     1.221e-03     6.531e-04  
  216        1884   -4.777118e-01     7.207e-10     1.000e+00     1.487e-03     7.106e-04  
  217        1887   -4.777119e-01     1.184e-10     1.000e+00     1.371e-03     5.854e-04  
  218        1890   -4.777120e-01     3.115e-11     1.000e+00     7.547e-04     2.746e-04  
  219        1893   -4.777120e-01     2.161e-12     1.000e+00     3.062e-04     7.854e-05  
  220        1896   -4.777120e-01     2.105e-12     1.000e+00     2.789e-04     9.254e-05  
  221        1899   -4.777120e-01     6.118e-12     1.000e+00     3.664e-04     1.219e-04  
  222        1902   -4.777120e-01     7.227e-12     1.000e+00     3.271e-04     9.590e-05  
  223        1905   -4.777120e-01     1.495e-12     1.000e+00     1.886e-04     4.302e-05  
  224        1908   -4.777120e-01     9.653e-14     1.000e+00     8.786e-05     1.985e-05  
  225        1911   -4.777120e-01     2.876e-14     1.000e+00     8.406e-05     2.548e-05  
  226        1914   -4.777120e-01     1.060e-13     1.000e+00     9.133e-05     3.143e-05  
  227        1917   -4.777120e-01     2.350e-14     1.000e+00     7.158e-05     1.977e-05  
  228        1920   -4.777120e-01     5.426e-15     1.000e+00     3.410e-05     7.814e-06  
  229        1923   -4.777120e-01     3.948e-15     1.000e+00     2.077e-05     7.361e-06  
