problem2bdu


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  142     246    1.249704e-01   8.462e-06   1.000e+00   6.579e-02   1.161e-03
  143     248    1.249694e-01   3.596e-05   1.000e+00   1.189e-01   1.096e-03
  144     250    1.249688e-01   1.427e-05   1.000e+00   9.848e-02   1.364e-03
  145     252    1.249687e-01   1.175e-06   1.000e+00   4.942e-02   1.069e-03
  146     254    1.249686e-01   1.753e-08   1.000e+00   1.388e-02   2.628e-04
  147     255    1.249686e-01   1.495e-07   1.000e+00   4.117e-03   2.544e-04
  148     257    1.249686e-01   6.642e-08   7.000e-01   1.544e-03   5.927e-05
  149     258    1.249686e-01   7.419e-09   1.000e+00   7.146e-04   1.525e-05
  150     260    1.249686e-01   2.043e-09   7.000e-01   1.329e-04   6.038e-06

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  151     264    1.249686e-01   1.259e-09   3.430e-01   7.459e-05   4.517e-06
  152     267    1.249686e-01   9.732e-10   4.900e-01   7.443e-05   2.514e-06
  153     268    1.249686e-01   4.011e-10   1.000e+00   7.759e-05   1.611e-07

<a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'local_min_found','CSHelpWindow');">Local minimum found that satisfies the constraints</a>.

Optimization completed because the objective function is non-decreasing in 
<a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'feasible_directions','CSHelpWindow');">feasible directions</a>, to within the selected value of the <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'function_tolerance','CSHelpWindow');">function tolerance</a>,
and constraints are satisfied to within the selected value of the <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'constraint_tolerance','CSHelpWindow');">constraint tolerance</a>.

<<a href = "matlab: createExitMsg('sqpLineSearch',1.000000e+00,true,true,'fmincon',9.941732e-08,'selected',1.000000e-07,4.011486e-10,'selected',1.000000e-07,0.000000e+00,'',0.000000e+00);">stopping criteria details</a>>


optimout = 

        nlpx: [124x1 double]
        fval: 0.1250
    exitflag: 1
      output: [1x1 struct]
      lambda: [1x1 struct]
        grad: [124x1 double]
     hessian: [124x124 double]
           t: [16x1 double]
           u: [16x1 double]
           p: []


optimparam = 

     optvar: 3
    objtype: []
      ncolx: 6
      ncolu: 2
         li: [4x1 double]
         tf: 1
         ui: [7 7 7 7]
        par: []
        bdu: [-4 9 -4 10 -4 10 -4 10]
        bdx: []
        bdp: []
     objfun: @objfun
     confun: []
    process: @process
    options: [1x1 struct]
        bdt: [1.0000e-03 1]
         ni: 4
         nu: 1
         nx: 4
         np: 0
        tau: [8x1 double]
        lfx: [8x7 double]
       dlfx: [8x7 double]
        lfu: [8x2 double]
          M: [4x4 double]
     dt_col: 4
     du_col: 8
     dx_col: 112
     dp_col: 0

diary off
