problem1a
*********** generating gradients please wait ***********


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
  134        3045    7.615978e-01     7.112e-09     2.254e-05     2.729e-05     8.617e-04  
  135        3077    7.615978e-01     7.199e-09     2.254e-05     2.729e-05     8.689e-04  
  136        3109    7.615978e-01     7.286e-09     2.254e-05     2.730e-05     8.746e-04  
  137        3141    7.615978e-01     7.374e-09     2.254e-05     2.730e-05     8.796e-04  
  138        3173    7.615978e-01     7.461e-09     2.254e-05     2.730e-05     8.843e-04  
  139        3205    7.615978e-01     7.548e-09     2.254e-05     2.730e-05     8.887e-04  
  140        3237    7.615978e-01     7.635e-09     2.254e-05     2.730e-05     8.912e-04  
  141        3269    7.615978e-01     7.723e-09     2.254e-05     2.730e-05     8.922e-04  
  142        3301    7.615978e-01     7.810e-09     2.254e-05     2.731e-05     8.914e-04  
  143        3333    7.615978e-01     7.897e-09     2.254e-05     2.731e-05     8.830e-04  
  144        3365    7.615978e-01     7.984e-09     2.254e-05     2.732e-05     8.399e-04  
  145        3395    7.615978e-01     8.112e-09     4.600e-05     3.297e-05     6.428e-04  
  146        3424    7.615978e-01     8.188e-09     6.571e-05     2.555e-05     4.290e-04  
  147        3456    7.615978e-01     8.275e-09     2.254e-05     2.733e-05     4.295e-04  
  148        3488    7.615978e-01     8.362e-09     2.254e-05     2.733e-05     4.249e-04  
  149        3520    7.615978e-01     8.449e-09     2.254e-05     2.733e-05     4.169e-04  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  150        3552    7.615978e-01     8.530e-09     2.254e-05     2.632e-05     4.073e-04  
  151        3583    7.615978e-01     8.661e-09     3.220e-05     3.350e-05     3.941e-04  
  152        3614    7.615978e-01     8.754e-09     3.220e-05     2.825e-05     3.824e-04  
  153        3645    7.615978e-01     8.830e-09     3.220e-05     2.568e-05     3.713e-04  
  154        3675    7.615978e-01     8.965e-09     4.600e-05     3.405e-05     3.570e-04  
  155        3705    7.615978e-01     9.069e-09     4.600e-05     2.991e-05     3.443e-04  
  156        3735    7.615978e-01     9.157e-09     4.600e-05     2.761e-05     3.326e-04  
  157        3764    7.615978e-01     9.316e-09     6.571e-05     3.691e-05     3.172e-04  
  158        3793    7.615978e-01     9.442e-09     6.571e-05     3.293e-05     3.032e-04  
  159        3822    7.615978e-01     9.550e-09     6.571e-05     3.052e-05     2.901e-04  
  160        3851    7.615978e-01     9.644e-09     6.571e-05     2.859e-05     2.779e-04  
  161        3880    7.615978e-01     9.729e-09     6.571e-05     2.701e-05     2.664e-04  
  162        3908    7.615978e-01     9.885e-09     9.387e-05     3.667e-05     2.511e-04  
  163        3936    7.615978e-01     1.002e-08     9.387e-05     3.361e-05     2.367e-04  
  164        3964    7.615978e-01     1.013e-08     9.387e-05     3.151e-05     2.231e-04  
  165        3992    7.615978e-01     1.023e-08     9.387e-05     2.975e-05     2.100e-04  
  166        4020    7.615978e-01     1.033e-08     9.387e-05     2.824e-05     1.976e-04  
  167        4048    7.615978e-01     1.041e-08     9.387e-05     2.694e-05     1.857e-04  
  168        4075    7.615978e-01     1.057e-08     1.341e-04     3.686e-05     1.694e-04  
  169        4102    7.615978e-01     1.070e-08     1.341e-04     3.433e-05     1.538e-04  
  170        4129    7.615978e-01     1.082e-08     1.341e-04     3.246e-05     1.389e-04  
  171        4156    7.615978e-01     1.093e-08     1.341e-04     3.085e-05     1.244e-04  
  172        4183    7.615978e-01     1.103e-08     1.341e-04     2.945e-05     1.104e-04  
  173        4210    7.615978e-01     1.113e-08     1.341e-04     2.822e-05     9.723e-05  
  174        4236    7.615978e-01     1.130e-08     1.916e-04     3.875e-05     9.053e-05  
  175        4262    7.615978e-01     1.145e-08     1.916e-04     3.639e-05     8.410e-05  
  176        4288    7.615978e-01     1.159e-08     1.916e-04     3.458e-05     8.148e-05  
  177        4314    7.615978e-01     1.172e-08     1.916e-04     3.300e-05     8.037e-05  
  178        4340    7.615978e-01     1.183e-08     1.916e-04     3.161e-05     7.928e-05  
  179        4366    7.615978e-01     1.194e-08     1.916e-04     3.038e-05     7.822e-05  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  180        4392    7.615978e-01     1.204e-08     1.916e-04     2.928e-05     7.719e-05  
  181        4418    7.615978e-01     1.213e-08     1.916e-04     2.829e-05     8.199e-05  
  182        4443    7.615978e-01     1.230e-08     2.737e-04     3.913e-05     9.080e-05  
  183        4468    7.615978e-01     1.246e-08     2.737e-04     3.719e-05     9.932e-05  
  184        4493    7.615978e-01     1.261e-08     2.737e-04     3.563e-05     1.076e-04  
  185        4518    7.615978e-01     1.274e-08     2.737e-04     3.425e-05     1.188e-04  
  186        4543    7.615978e-01     1.287e-08     2.737e-04     3.301e-05     1.378e-04  
  187        4568    7.615978e-01     1.298e-08     2.737e-04     3.190e-05     1.564e-04  
  188        4593    7.615978e-01     1.309e-08     2.737e-04     3.089e-05     1.746e-04  
  189        4618    7.615978e-01     1.319e-08     2.737e-04     2.997e-05     1.924e-04  
  190        4642    7.615978e-01     1.339e-08     3.910e-04     4.161e-05     2.172e-04  
  191        4666    7.615978e-01     1.357e-08     3.910e-04     3.979e-05     2.414e-04  
  192        4690    7.615978e-01     1.374e-08     3.910e-04     3.830e-05     2.650e-04  
  193        4714    7.615978e-01     1.390e-08     3.910e-04     3.695e-05     2.881e-04  
  194        4738    7.615978e-01     1.404e-08     3.910e-04     3.574e-05     3.107e-04  
  195        4762    7.615978e-01     1.418e-08     3.910e-04     3.464e-05     3.328e-04  
  196        4786    7.615978e-01     1.431e-08     3.910e-04     3.364e-05     3.544e-04  
  197        4810    7.615978e-01     1.443e-08     3.910e-04     3.271e-05     3.756e-04  
  198        4834    7.615978e-01     1.454e-08     3.910e-04     3.187e-05     3.964e-04  
  199        4858    7.615978e-01     1.465e-08     3.910e-04     3.109e-05     4.169e-04  
  200        4881    7.615978e-01     1.486e-08     5.585e-04     4.337e-05     4.455e-04  
  201        4904    7.615978e-01     1.506e-08     5.585e-04     4.178e-05     4.734e-04  
  202        4927    7.615978e-01     1.525e-08     5.585e-04     4.044e-05     5.008e-04  
  203        4950    7.615978e-01     1.542e-08     5.585e-04     3.922e-05     5.276e-04  
  204        4973    7.615978e-01     1.558e-08     5.585e-04     3.810e-05     5.538e-04  
  205        4996    7.615978e-01     1.574e-08     5.585e-04     3.708e-05     5.796e-04  
  206        5019    7.615978e-01     1.588e-08     5.585e-04     3.613e-05     6.049e-04  
  207        5042    7.615978e-01     1.602e-08     5.585e-04     3.526e-05     6.297e-04  
  208        5065    7.615978e-01     1.615e-08     5.585e-04     3.444e-05     6.541e-04  
  209        5088    7.615978e-01     1.628e-08     5.585e-04     3.369e-05     6.781e-04  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  210        5111    7.615978e-01     1.640e-08     5.585e-04     3.299e-05     7.017e-04  
  211        5134    7.615978e-01     1.651e-08     5.585e-04     3.233e-05     7.249e-04  
  212        5156    7.615978e-01     1.674e-08     7.979e-04     4.530e-05     7.575e-04  
  213        5178    7.615978e-01     1.696e-08     7.979e-04     4.392e-05     7.894e-04  
  214        5200    7.615978e-01     1.716e-08     7.979e-04     4.273e-05     8.207e-04  
  215        5222    7.615978e-01     1.735e-08     7.979e-04     4.163e-05     8.514e-04  
  216        5244    7.615978e-01     1.753e-08     7.979e-04     4.062e-05     8.816e-04  
  217        5266    7.615978e-01     1.770e-08     7.979e-04     3.968e-05     9.113e-04  
  218        5288    7.615978e-01     1.787e-08     7.979e-04     3.880e-05     9.405e-04  
  219        5310    7.615978e-01     1.803e-08     7.979e-04     3.798e-05     9.692e-04  
  220        5332    7.615978e-01     1.817e-08     7.979e-04     3.721e-05     9.974e-04  
  221        5354    7.615978e-01     1.832e-08     7.979e-04     3.650e-05     1.025e-03  
  222        5376    7.615978e-01     1.846e-08     7.979e-04     3.582e-05     1.053e-03  
  223        5398    7.615978e-01     1.859e-08     7.979e-04     3.519e-05     1.080e-03  
  224        5420    7.615978e-01     1.872e-08     7.979e-04     3.459e-05     1.106e-03  
  225        5442    7.615978e-01     1.884e-08     7.979e-04     3.402e-05     1.132e-03  
  226        5463    7.615978e-01     1.909e-08     1.140e-03     4.784e-05     1.169e-03  
  227        5484    7.615978e-01     1.932e-08     1.140e-03     4.662e-05     1.205e-03  
  228        5505    7.615978e-01     1.955e-08     1.140e-03     4.555e-05     1.241e-03  
  229        5526    7.615978e-01     1.976e-08     1.140e-03     4.455e-05     1.276e-03  
  230        5547    7.615978e-01     1.997e-08     1.140e-03     4.362e-05     1.310e-03  
  231        5568    7.615978e-01     2.016e-08     1.140e-03     4.275e-05     1.344e-03  
  232        5589    7.615978e-01     2.035e-08     1.140e-03     4.193e-05     1.378e-03  
  233        5610    7.615978e-01     2.053e-08     1.140e-03     4.116e-05     1.410e-03  
  234        5631    7.615978e-01     2.070e-08     1.140e-03     4.043e-05     1.443e-03  
  235        5652    7.615978e-01     2.086e-08     1.140e-03     3.975e-05     1.475e-03  
  236        5673    7.615978e-01     2.102e-08     1.140e-03     3.910e-05     1.506e-03  
  237        5694    7.615978e-01     2.117e-08     1.140e-03     3.848e-05     1.537e-03  
  238        5715    7.615978e-01     2.132e-08     1.140e-03     3.790e-05     1.568e-03  
  239        5736    7.615978e-01     2.146e-08     1.140e-03     3.735e-05     1.598e-03  
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
  240        5757    7.615978e-01     2.160e-08     1.140e-03     3.682e-05     1.628e-03  
  241        5778    7.615978e-01     2.173e-08     1.140e-03     3.632e-05     1.657e-03  
  242        5799    7.615978e-01     2.186e-08     1.140e-03     3.585e-05     1.686e-03  
  243        5819    7.615977e-01     2.213e-08     1.628e-03     5.056e-05     1.727e-03  
  244        5839    7.615977e-01     2.238e-08     1.628e-03     4.950e-05     1.767e-03  
  245        5859    7.615977e-01     2.262e-08     1.628e-03     4.856e-05     1.807e-03  
  246        5879    7.615977e-01     2.286e-08     1.628e-03     4.766e-05     1.846e-03  
  247        5899    7.615977e-01     2.308e-08     1.628e-03     4.682e-05     1.884e-03  
  248        5919    7.615977e-01     2.330e-08     1.628e-03     4.603e-05     1.922e-03  
  249        5939    7.615977e-01     2.350e-08     1.628e-03     4.528e-05     1.959e-03  
  250        5959    7.615977e-01     2.370e-08     1.628e-03     4.457e-05     1.996e-03  
