problem7
                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  121     243   -2.165369e+01   6.353e-04   1.000e+00   2.224e-01   2.990e-01
  122     245   -2.165651e+01   1.744e-03   1.000e+00   3.177e-01   2.405e-01
  123     247   -2.165924e+01   1.666e-03   1.000e+00   3.420e-01   4.115e-01
  124     249   -2.166538e+01   3.375e-03   1.000e+00   6.269e-01   7.635e-01
  125     251   -2.166936e+01   4.964e-04   1.000e+00   3.230e-01   1.001e+00
  126     253   -2.167538e+01   3.530e-03   1.000e+00   3.576e-01   6.757e-01
  127     255   -2.167492e+01   9.050e-04   1.000e+00   9.891e-02   2.562e-01
  128     257   -2.167632e+01   7.616e-04   1.000e+00   1.182e-01   2.966e-01
  129     259   -2.167677e+01   3.460e-04   1.000e+00   1.034e-01   2.811e-01
  130     261   -2.167741e+01   2.216e-04   1.000e+00   1.239e-01   2.810e-01
  131     263   -2.167862e+01   2.533e-04   1.000e+00   2.143e-01   2.747e-01
  132     265   -2.167953e+01   5.264e-05   1.000e+00   1.165e-01   1.806e-01
  133     267   -2.168272e+01   4.000e-04   1.000e+00   2.751e-01   3.213e-01
  134     269   -2.168548e+01   1.337e-03   1.000e+00   4.639e-01   5.488e-01
  135     271   -2.168785e+01   1.666e-03   1.000e+00   6.253e-01   7.412e-01
  136     273   -2.169121e+01   1.717e-03   1.000e+00   8.180e-01   1.176e+00
  137     275   -2.169357e+01   7.567e-04   1.000e+00   2.878e-01   1.174e+00
  138     277   -2.169591e+01   6.662e-04   1.000e+00   1.843e-01   2.689e-01
  139     279   -2.169535e+01   9.335e-05   1.000e+00   6.863e-02   1.892e-01
  140     282   -2.169593e+01   8.304e-06   1.000e+00   1.381e-01   2.051e-01
  141     284   -2.169612e+01   4.786e-05   1.000e+00   3.727e-02   1.009e-01
  142     286   -2.169619e+01   1.634e-05   1.000e+00   2.753e-02   8.391e-02
  143     288   -2.169627e+01   1.584e-05   1.000e+00   3.418e-02   6.649e-02
  144     290   -2.169645e+01   4.269e-05   1.000e+00   7.258e-02   5.165e-02
  145     292   -2.169667e+01   9.476e-05   1.000e+00   1.045e-01   8.534e-02
  146     294   -2.169690e+01   1.438e-04   1.000e+00   1.231e-01   1.331e-01
  147     296   -2.169712e+01   1.397e-04   1.000e+00   1.171e-01   1.641e-01
  148     299   -2.169731e+01   2.070e-06   1.000e+00   1.333e-01   2.000e-01
  149     302   -2.169767e+01   7.031e-06   1.000e+00   1.822e-01   2.521e-01
  150     305   -2.169804e+01   7.621e-06   1.000e+00   1.922e-01   2.763e-01

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  151     307   -2.169834e+01   7.773e-05   1.000e+00   6.495e-02   2.535e-01
  152     309   -2.169841e+01   3.357e-05   1.000e+00   5.180e-02   3.269e-02
  153     311   -2.169845e+01   1.562e-05   1.000e+00   4.642e-02   3.853e-02
  154     313   -2.169864e+01   7.199e-05   1.000e+00   1.258e-01   1.245e-01
  155     315   -2.169886e+01   1.300e-04   1.000e+00   1.864e-01   2.020e-01
  156     317   -2.169922e+01   2.671e-04   1.000e+00   2.956e-01   2.724e-01
  157     319   -2.169964e+01   3.515e-04   1.000e+00   3.523e-01   2.909e-01
  158     321   -2.170029e+01   9.042e-04   1.000e+00   4.482e-01   2.899e-01
  159     323   -2.170107e+01   9.209e-04   1.000e+00   3.862e-01   2.775e-01
  160     325   -2.170196e+01   6.277e-04   1.000e+00   2.171e-01   1.776e-01
  161     327   -2.170245e+01   3.926e-04   1.000e+00   1.718e-01   2.480e-01
  162     329   -2.170284e+01   1.442e-04   1.000e+00   1.233e-01   2.623e-01
  163     331   -2.170301e+01   6.425e-05   1.000e+00   8.793e-02   1.378e-01
  164     333   -2.170327e+01   6.177e-05   1.000e+00   1.161e-01   1.567e-01
  165     335   -2.170336e+01   4.745e-05   1.000e+00   5.858e-02   9.523e-02
  166     337   -2.170348e+01   4.138e-05   1.000e+00   5.486e-02   7.379e-02
  167     339   -2.170354e+01   5.567e-06   1.000e+00   3.300e-02   3.066e-02
  168     341   -2.170376e+01   4.442e-05   1.000e+00   9.625e-02   9.930e-02
  169     343   -2.170394e+01   1.008e-04   1.000e+00   1.264e-01   1.588e-01
  170     345   -2.170431e+01   3.444e-04   1.000e+00   2.362e-01   2.167e-01
  171     347   -2.170461e+01   2.272e-04   1.000e+00   2.438e-01   2.006e-01
  172     349   -2.170503e+01   3.725e-04   1.000e+00   3.021e-01   2.779e-01
  173     351   -2.170541e+01   1.951e-04   1.000e+00   2.619e-01   1.961e-01
  174     353   -2.170624e+01   4.987e-04   1.000e+00   2.797e-01   2.940e-01
  175     355   -2.170699e+01   7.707e-04   1.000e+00   3.545e-01   3.070e-01
  176     357   -2.170772e+01   7.778e-04   1.000e+00   4.002e-01   4.324e-01
  177     359   -2.170815e+01   9.987e-05   1.000e+00   1.951e-01   3.965e-01
  178     361   -2.170867e+01   3.220e-04   1.000e+00   3.281e-01   1.049e-01
  179     363   -2.170881e+01   2.085e-04   1.000e+00   2.653e-01   1.181e-01
  180     365   -2.171002e+01   2.011e-03   1.000e+00   8.549e-01   3.613e-01

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  181     367   -2.171175e+01   5.317e-03   1.000e+00   1.444e+00   7.016e-01
  182     369   -2.171329e+01   5.076e-04   1.000e+00   6.865e-01   1.045e+00
  183     371   -2.171702e+01   7.806e-04   1.000e+00   3.911e-01   4.505e-01
  184     373   -2.171655e+01   7.799e-05   1.000e+00   1.359e-01   2.054e-01
  185     375   -2.171787e+01   1.665e-04   1.000e+00   2.404e-01   6.323e-01
  186     377   -2.171891e+01   5.111e-04   1.000e+00   2.891e-01   7.939e-01
  187     379   -2.171928e+01   3.467e-04   1.000e+00   1.856e-01   4.934e-01
  188     381   -2.171934e+01   1.528e-04   1.000e+00   8.029e-02   7.864e-02
  189     383   -2.171936e+01   2.732e-05   1.000e+00   4.774e-02   6.367e-02
  190     385   -2.171953e+01   2.593e-05   1.000e+00   7.720e-02   1.109e-01
  191     387   -2.171985e+01   5.331e-05   1.000e+00   1.389e-01   1.943e-01
  192     389   -2.172049e+01   1.060e-04   1.000e+00   2.635e-01   3.278e-01
  193     391   -2.172099e+01   6.141e-05   1.000e+00   2.071e-01   3.657e-01
  194     393   -2.172190e+01   3.306e-04   1.000e+00   3.020e-01   3.000e-01
  195     395   -2.172169e+01   5.581e-05   1.000e+00   8.600e-02   2.181e-01
  196     397   -2.172172e+01   2.631e-05   1.000e+00   5.664e-02   6.485e-02
  197     399   -2.172174e+01   1.080e-05   1.000e+00   3.542e-02   3.015e-02
  198     401   -2.172179e+01   2.575e-05   1.000e+00   4.935e-02   3.764e-02
  199     403   -2.172186e+01   4.018e-05   1.000e+00   8.202e-02   4.821e-02
  200     405   -2.172191e+01   3.025e-05   1.000e+00   8.327e-02   6.551e-02
  201     407   -2.172197e+01   3.353e-05   1.000e+00   8.483e-02   6.345e-02
  202     409   -2.172203e+01   2.933e-05   1.000e+00   7.714e-02   7.687e-02
  203     411   -2.172216e+01   7.609e-05   1.000e+00   1.354e-01   1.145e-01
  204     413   -2.172232e+01   1.099e-04   1.000e+00   1.847e-01   1.602e-01
  205     415   -2.172249e+01   1.117e-04   1.000e+00   2.059e-01   1.731e-01
  206     417   -2.172256e+01   3.492e-05   1.000e+00   1.261e-01   1.307e-01
  207     419   -2.172259e+01   1.591e-05   1.000e+00   5.380e-02   6.911e-02
  208     421   -2.172262e+01   1.375e-05   1.000e+00   4.303e-02   6.126e-02
  209     423   -2.172270e+01   1.876e-05   1.000e+00   7.275e-02   1.565e-01
  210     425   -2.172286e+01   5.998e-05   1.000e+00   1.368e-01   2.804e-01

                                                          Norm of First-order
 Iter F-count            f(x) Feasibility  Steplength        step  optimality
  211     427   -2.172308e+01   1.270e-04   1.000e+00   2.230e-01   3.461e-01
  212     429   -2.172326e+01   7.750e-05   1.000e+00   2.250e-01   2.708e-01
