problem2
*********** generating gradients please wait ***********


*********************  Running fminsdp  ********************** 

Calling NLP-solver fmincon for problem with no matrix inequality constraints.

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  168     361    1.204804e-01    1.058e-08    3.162e-06    6.872e-03
  169     368    1.204804e-01    4.687e-09    3.069e-06    4.919e-03
  170     375    1.204804e-01    9.297e-09    2.944e-06    7.325e-03
  171     382    1.204804e-01    3.062e-09    2.937e-06    4.306e-03
  172     389    1.204804e-01    5.213e-09    2.885e-06    6.285e-03
  173     396    1.204804e-01    2.697e-09    2.887e-06    4.488e-03
  174     403    1.204804e-01    1.921e-09    2.874e-06    4.052e-03
  175     410    1.204803e-01    1.380e-09    2.847e-06    3.471e-03
  176     417    1.204803e-01    9.120e-10    2.804e-06    2.973e-03
  177     424    1.204803e-01    6.402e-10    2.758e-06    2.601e-03
  178     431    1.204803e-01    4.234e-10    2.709e-06    2.286e-03
  179     438    1.204803e-01    2.898e-10    2.668e-06    2.051e-03
  180     445    1.204803e-01    1.880e-10    2.627e-06    1.778e-03

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  181     452    1.204803e-01    1.426e-10    2.586e-06    1.623e-03
  182     459    1.204803e-01    9.618e-11    2.561e-06    1.419e-03
  183     466    1.204803e-01    9.208e-11    2.518e-06    1.434e-03
  184     473    1.204803e-01    6.613e-11    2.499e-06    1.256e-03
  185     480    1.204803e-01    8.956e-11    2.463e-06    1.419e-03
  186     487    1.204803e-01    9.063e-11    2.436e-06    1.432e-03
  187     494    1.204803e-01    1.748e-10    2.411e-06    1.805e-03
  188     501    1.204803e-01    1.606e-10    2.399e-06    1.772e-03
  189     508    1.204802e-01    2.378e-10    2.376e-06    2.165e-03
  190     515    1.204802e-01    2.137e-10    2.367e-06    2.087e-03
  191     522    1.204802e-01    2.214e-10    2.349e-06    2.301e-03
  192     529    1.204802e-01    2.142e-10    2.342e-06    2.266e-03
  193     536    1.204802e-01    1.635e-10    2.336e-06    2.142e-03
  194     543    1.204802e-01    1.600e-10    2.330e-06    2.141e-03
  195     550    1.204802e-01    1.264e-10    2.324e-06    1.981e-03
  196     557    1.204802e-01    1.329e-10    2.316e-06    1.999e-03
  197     564    1.204802e-01    1.280e-10    2.305e-06    1.958e-03
  198     571    1.204802e-01    1.342e-10    2.293e-06    1.946e-03
  199     578    1.204802e-01    1.293e-10    2.277e-06    1.882e-03
  200     585    1.204802e-01    1.242e-10    2.259e-06    1.815e-03
  201     592    1.204802e-01    1.138e-10    2.238e-06    1.738e-03
  202     599    1.204802e-01    1.119e-10    2.211e-06    1.736e-03
  203     606    1.204802e-01    8.501e-11    2.185e-06    1.587e-03
  204     613    1.204802e-01    7.042e-11    2.159e-06    1.470e-03
  205     620    1.204802e-01    5.814e-11    2.133e-06    1.372e-03
  206     627    1.204802e-01    4.344e-11    2.100e-06    1.315e-03
  207     634    1.204802e-01    6.700e-11    2.082e-06    1.422e-03
  208     641    1.204802e-01    3.373e-11    2.059e-06    1.202e-03
  209     642    1.204789e-01    9.196e-04    5.248e-03    5.787e-02
